"ID",Status,Supplier,LogP_exp,pH of analysis,smiles
ZINC00036522,Validated,Specs,4.17,5,Cc1cc2c(cc1C)NC(=O)C[C@H]2c3ccccc3OC
ZINC00185379,Validated,ChemBridge,2.79,5,COc1ccc2c(c1)O[C@@](CC2=O)(C(F)(F)F)O
ZINC12402487,Validated,ChemBridge,1.6,"6,5",CC1(O[C@H]([C@H](O1)C(=O)N)C(=O)N)C(C)(C)C
ZINC00055459,Validated,Specs,3.96,"10,5",CCOc1cc(cc(c1OCC)OCC)c2nnc(o2)c3ccco3
ZINC00056871,Validated,Enamine,5.3,"7,3",CN(C)c1ccc(cc1)C(=C)c2ccc(cc2)N(C)C
ZINC00058341,Validated,ChemBridge,3.53,"10,5",Cc1ccc(o1)[C@H](C#CC(c2ccccc2)(c3ccccc3)O)O
ZINC00062144,Validated,IBScreen (Edchem),4.35,"10,5",CC(C)(C)c1cc(n[nH]1)Cc2ccccc2
ZINC00069488,Validated,Maybridge (Chemie Brunschwig),6.21,5,C[C@H]1C[C@@H](CC(C1)(C)C)NC(=S)NCc2csc3c2cccc3
ZINC00072787,Validated,ChemBridge,3.14,"10,5",CCNc1nc(nc(n1)Oc2ccc(nn2)OCC)NC(C)C
ZINC00074829,Validated,Enamine,1.81,5,c1ccc2c(c1)OCCOCCOCCO2
ZINC00077710,Validated,Specs,2.34,"10,5",c1ccc2c(c1)c3c(c(=O)o2)[C@H](C(=C(O3)N)C#N)c4cccs4
ZINC00081411,Validated,Maybridge (Chemie Brunschwig),2.98,10,CCOC(=O)CC1=Nn2c(nnc2SC1)c3cccs3
ZINC00082336,Validated,Maybridge (Chemie Brunschwig),4.5,5,c1ccc2c(c1)CC[C@@H](O2)C(=O)Nc3ccc(cc3)C(F)(F)F
ZINC00089307,Validated,Maybridge (Chemie Brunschwig),3.33,5,CC(C)(C)C(=O)CSc1nc(cc(n1)OC(=O)N(C)C)COC
ZINC00094399,Validated,Chemical Block,4.12,"9,2",Cc1cc(ccc1[N+](=O)[O-])C(=O)NCCc2c([nH]c3c2cccc3)C
ZINC01061315,Validated,ChemBridge,3.96,5,c1cc(c(c(c1)Cl)[C@@H]2CC(=O)Nc3c2cc4c(c3)OCCO4)F
ZINC00096234,Validated,Maybridge (Chemie Brunschwig),3.69,5,CSc1c(c(cs1)c2cccs2)C#N
ZINC00139023,Validated,ChemBridge,"4.00",5,c1ccc(c(c1)C(F)(F)F)NC(=O)NC2CCCCC2
ZINC00105203,Validated,IBScreen (Edchem),3.24,"6,5",CCn1c2c(nc1NC[C@H](c3ccccc3)O)n(c(=O)n(c2=O)C)C
ZINC00106685,Validated,Maybridge (Chemie Brunschwig),1.14,"10,5",Cc1c(nc2c(n1)c(nnc2N)N)C
ZINC00110879,Validated,Chemical Block,5.38,"6,5",c1ccc(cc1)N(c2ccccc2)c3nc(nc(n3)N4CCCC4)C#N
ZINC00113902,Validated,Maybridge (Chemie Brunschwig),2.68,5,c1cc2c(cc1c3csc(n3)CC#N)OCCCO2
ZINC00115984,Validated,ChemBridge,1.49,5,CC1(O[C@@H]([C@H](O1)C(=O)N(C)C)C(=O)N(C)C)C
ZINC14720659,Validated,Aldrich,2.49,5,COC(=O)[C@H]1[C@H](OC(O1)c2ccccc2)C(=O)OC
ZINC00121503,Validated,ChemBridge,5.05,"10,5",CCN(CC)c1ccc(c(c1)OC)C=C2C(=O)c3ccccc3C2=O
ZINC00125686,Validated,Maybridge (Chemie Brunschwig),4.28,"6,5",CC(C)(C)S(=O)(=O)/C(=C/Nc1ccc(cc1)OC(F)(F)F)/C#N
ZINC00127640,Validated,Chemical Block,3.3,5,CCC[C@@H]1C(=O)C[C@@H](C(C1(C#N)C#N)(C#N)C#N)C(C)C
ZINC00132954,Validated,Maybridge (Chemie Brunschwig),4.41,5,Cc1c(cccc1OCc2ccccc2)[N+](=O)[O-]
ZINC00136299,Validated,Maybridge (Chemie Brunschwig),2.73,5,CC12CCCC(C1)(CCC2)C(=O)N
ZINC00137750,Validated,Maybridge (Chemie Brunschwig),4.14,"6,5",Cc1c(c(c(c(c1C)C)CSc2nnc(n2C)CC#N)C)C
ZINC00141449,Validated,Chemical Block,2.46,5,CCOc1nc(nc(n1)N2CCOCC2)C#N
ZINC00143627,Validated,Vitas‐M,5.48,5,Cc1cc(c(c(c1)C)[C@H]2[C@@H]3CCCC=C3C(=C(C2(C#N)C#N)N)C#N)C
ZINC00149819,Validated,Maybridge (Chemie Brunschwig),0.51,2,C[S@@](=N/C=C(/C#N)\S(=O)(=O)C)(=O)c1ccsc1
ZINC00155649,Validated,Aldrich,2.61,5,c1cc(ccc1C(=O)C2CC2)F
ZINC00161457,Validated,Specs,3.68,10,C[C@]1(OC[C@H](O1)Cn2cncn2)c3ccc(cc3Cl)Cl
ZINC00161621,Validated,Maybridge (Chemie Brunschwig),1.56,10,c1c2c(nc3c1sc(n3)N)nc(s2)N
ZINC00162659,Validated,Maybridge (Chemie Brunschwig),2.46,5,C[C@@]1(CC[C@H](C1(C)C)C(=O)N2CCOCC2)C(=O)N3CCOCC3
ZINC00076749,Validated,Enamine,3.65,"7,3",Cc1nc(cs1)c2ccc(cc2)Cl
ZINC00170706,Validated,Maybridge (Chemie Brunschwig),4.69,"10,5",CN(C)/C=C/C(=O)c1ccc(cc1)C#Cc2ccccc2
ZINC00171218,Validated,Maybridge (Chemie Brunschwig),2.82,5,CCCn1c(=O)c(cn(c1=O)c2ccccc2C)Br
ZINC00190551,Validated,IBScreen (Edchem),3.9,"10,5",Cc1cc2c(cc1OCC(=O)OC)occ(c2=O)c3csc(n3)C
ZINC18324649,Validated,Vitas‐M,3.92,10,Cc1ccc2c(nc(nc2c1)Nc3[nH]c(=O)c4c(n3)CCCC4)C
ZINC01779942,Validated,ChemBridge,4.45,5,CCCCOc1ccc(cc1)/C=C/C(=O)NC(C)C
ZINC00218005,Validated,ChemDiv,3.58,5,CCN(CC)S(=O)(=O)N1CCC[C@@H](C1)C(=O)NC2CCCCC2
ZINC00238588,Validated,Enamine,5.02,"10,5",CC(=CCCC1=NN([C@@](C1)(C)CCC=C(C)C)C=O)C
ZINC00258632,Validated,Enamine,1.8,5,C[C@@H](c1ccccc1)NS(=O)(=O)C
ZINC00263595,Validated,IBScreen (Edchem),2.44,5,CC[C@@]1(NC(=S)N2N1C(=S)N[C@@]2(C)CC)C
ZINC00264105,Validated,IBScreen (Edchem),3.83,"10,5",CCCc1c2c(n[nH]1)OC(=C([C@H]2c3ccsc3C)C#N)N
ZINC00282116,Validated,ChemBridge,2.79,5,CC(C)(C)C(=O)Nc1ccc(cc1)NC(=O)C(C)(C)C
ZINC00242887,Validated,ChemBridge,1.41,5,COC(=O)N[C@@H](C(=O)c1ccccc1)O
ZINC00322785,Validated,IBScreen (Edchem),2.34,"6,5",COc1ccc(cc1OC)c2nnc(s2)N
ZINC00128400,Validated,Vitas‐M,2.92,5,c1cc2c(cc1c3csc(n3)CC#N)OCCO2
ZINC00446349,Validated,IBScreen (Edchem),4.04,5,c1ccc2c(c1)nc(s2)SCC(=O)c3cccs3
ZINC01233750,Validated,IBScreen,5.87,5,CC(C)[C@@H]1[C@@H]2CCCC=C2[C@@H]3CCCC[C@@H]3O1
ZINC00058285,Validated,Vitas‐M,2.67,10,c1ccc(cc1)Nc2ccccc2N
ZINC00102698,Validated,ChemBridge,2.15,5,CC(=O)c1cc2ccccc2o1
ZINC00344692,Validated,Enamine,3.3,5,c1ccc2c(c1)C(=O)N(C2=O)c3ccccc3[S@@](=O)C(F)(F)F
ZINC00346783,Validated,Specs,3.04,5,CC1(OC(=O)C(=Cc2ccc(s2)[N+](=O)[O-])C(=O)O1)C
ZINC00350715,Validated,Specs,2.66,5,CCN(CC)C(=O)[C@]12CC[C@](C1(C)C)(C(=O)O2)C
ZINC00365332,Validated,Specs,1.1,10,O=C(C)/N=C2/Sc1c(N2N(C(C)=O)C(C)=O)nc(cccc3)c3n1
ZINC00366877,Validated,Specs,4.81,"10,5",c1ccc2c(c1)nc3n2C=C(NN3)N/N=C/c4ccc(cc4)Cl
ZINC00036407,Validated,ChemBridge,3.45,5,Cc1c(c(=O)oc2c1ccc(c2C)OC)C
ZINC00118751,Validated,Specs,3.61,5,Cn1c2ccccc2n3c1c(c4c3nc(c(n4)C#N)C#N)C#N
ZINC03645064,Validated,ChemDiv,4.97,5,CC(C)OC(=O)c1ccc2c(c1)c3c([nH]2)CCCC3
ZINC00393738,Validated,Aldrich,2.85,5,COc1ccc(cc1)[C@@H]2CCCC[C@H]2O
ZINC00396628,Validated,Aldrich,2.7,5,Cc1cccc(c1C)NC(=O)NC(C)C
ZINC00506197,Validated,IBScreen (Edchem),1.16,5,C1CC[C@@]2([C@H](C1)CCC(=O)O2)O
ZINC00459287,Validated,ChemBridge,3.33,5,Cc1cc(=O)oc2c1ccc(c2)OC(C)C
ZINC00476297,Validated,ChemBridge,5.45,5,Cc1cc(ccc1O[C@@H](C)C(=O)NC2CCCCCC2)Cl
ZINC00617161,Validated,ChemBridge,4.33,5,c1cnc(nc1)SCc2ccc(c(c2)Cl)Cl
ZINC00331935,Validated,Enamine,0.71,5,C[C@@]1(CC(O[P@]1(=O)C)(C)C)O
ZINC00493350,Validated,Enamine‐REAL,2.71,5,CC(C)(C)NC(=S)Nc1ccc(cc1)F
ZINC03881371,Validated,Vitas‐M,2.93,5,C[C@H]1CC(=C[C@H](C1(CO)CO)C)C
ZINC00522903,Validated,IBScreen (Edchem),3.24,10,CC1(CC2=C(C(=O)C1)C3(CCC4(CC3)OCCO4)C(=C(O2)N)C#N)C
ZINC00529503,Validated,IBScreen (Edchem),5.86,"10,5",CCn1c(=O)c2c(c(sc2nc1SCc3ccccc3F)C)C
ZINC00535984,Validated,IBScreen (Edchem),4.76,"10,5",Cc1cc(n(n1)CCOC(=O)[C@H]2[C@@H](C2(C)C)C=C(Cl)Cl)C
ZINC00549477,Validated,Specs,4.64,"10,5",c1cc(sc1)C2=NN=C3[C@H]2[C@@H](C(=C(O3)N)C#N)C4CCCCC4
ZINC00551538,Validated,IBScreen (Edchem),3.24,10,CC1CN(C3=C(/C=C(C#N)/C#N)C(N2C=CC=CC2=N3)=O)CC(C)O1
ZINC00560825,Validated,Ambinter,3.2,10,CCn1c(nnc1SCC(=O)NC(C)(C)C)C2CCCCC2
ZINC00375384,Validated,ChemBridge,2.6,5,COc1ccc(cc1)CNC(=O)C2CCCC2
ZINC00614168,Validated,ChemBridge,3.61,5,CC(C)(C)c1ccccc1NC(=O)c2cc(c(c(c2)OC)OC)OC
ZINC00620045,Validated,ChemBridge,3.19,5,c1ccc(cc1)CS(=O)(=O)CC(=O)Nc2ccc3c(c2)OCCO3
ZINC00620166,Validated,ChemBridge,2.69,5,CCCC(=O)N1CC2(CC(C1)(CN(C2)C(=O)CCC)C)C
ZINC00622415,Validated,Specs,4.89,5,COc1cc(cc(c1)C(=O)c2ccc(cc2)F)C(=O)c3ccc(cc3)F
ZINC00624202,Validated,Enamine,5.76,"7,3",Cc1ccnc(c1)N(C(=O)c2cc3c(s2)CCCC3)C(=O)c4cc5c(s4)CCCC5
ZINC00454920,Validated,ChemBridge,4.52,5,CCc1cc(=O)oc2c1ccc(c2C)OCC(=O)OC(C)(C)C
ZINC00628553,Validated,Specs,4.74,"7,3",CCN1c2ccc(c3c2c(ccc3)C1=O)S(=O)(=O)N(c4ccc(cc4)OC)C(=O)c5cccnc5
ZINC00790489,Validated,ChemBridge,4.69,5,CCc1ccc(cc1)n2c(nnn2)SCC(=O)Nc3ccc(cc3)C(=O)C
ZINC00630275,Validated,ChemBridge (Depleted),5.77,5,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)Oc2ccc3c(c2)occ(c3=O)c4ccc(cc4)F
ZINC00630883,Validated,Specs,4.38,"6,5",Cc1cc2c(cc1C)NC3=C([C@@H](N2)c4cc5c(cc4Cl)OCO5)C(=O)CC(C3)(C)C
ZINC00634239,Validated,Specs,4.73,10,CCOC(=O)C1=NN[C@@]2([C@@H]1C(=O)N(C2=O)c3cccc(c3)C(F)(F)F)c4cccc(c4)[N+](=O)[O-]
ZINC18068175,Validated,ChemBridge,4.56,5,CCOC(=O)c1c(c(sc1N2C(=O)[C@H]3CC(=C(C[C@@H]3C2=O)C)C)C)C
ZINC18068175,Validated,ChemBridge,4.56,5,CCOC(=O)c1c(c(sc1N2C(=O)[C@@H]3CC(=C(C[C@@H]3C2=O)C)C)C)C
ZINC18068175,Validated,ChemBridge,4.56,5,CCOC(=O)c1c(c(sc1N2C(=O)[C@@H]3CC(=C(C[C@H]3C2=O)C)C)C)C
ZINC02695638,Validated,Vitas‐M,6.96,5,CCN1c2ccc(cc2/C(=C/3\C(=O)N(C(=S)S3)Cc4ccc(cc4)OC)/C1=O)Br
ZINC00645444,Validated,Specs,6.15,5,CCOc1cc(cc(c1OCC)OCC)C(=O)Oc2ccc3c(cc(=O)oc3c2)C
ZINC00646685,Validated,ChemBridge,5.92,"10,5",CCOC(=O)N1CCN(CC1)c2c3cc(cc(c3nc(n2)C(F)(F)F)C)C
ZINC00647320,Validated,ChemBridge,4.25,"7,3",Cc1c(cnn1C)CN(C)C(=O)c2cnn3c2N[C@H](C[C@@H]3C(F)(F)F)c4ccc(c(c4)OC)OC
ZINC00647734,Validated,Vitas‐M,5.01,5,Cc1ccc(c(c1)C)S(=O)(=O)N2CCCN(CC2)S(=O)(=O)c3ccc(cc3C)C
ZINC00661253,Validated,Specs,5.86,"7,3",COc1cccc(c1)c2ccc3c(c(sc3n2)C(=O)Nc4ccc(c(c4)F)F)N
ZINC00669528,Validated,Specs,5.05,5,CCN(CC)C(=O)c1c(c(c(s1)NC(=O)[C@@H]2C[C@H]3CC[C@@H]2C3)C(=O)OCC)C
ZINC00673873,Validated,Specs,5.54,5,c1cc(sc1)[C@@H]2C[C@H](n3c(c(c(n3)C(=O)NCc4ccc(cc4)F)Br)N2)C(F)(F)F
ZINC18276282,Validated,Vitas‐M,5.16,10,CCOC(=O)c1c(csc1/N=C/c2c(nn(c2O)c3ccccc3)C)CC(C)C
ZINC01092707,Validated,Vitas‐M,5.53,5,c1ccc(cc1)/C=C/C(=O)Nc2cccc(c2)NC(=O)c3cccc(c3)Cl
ZINC00673948,Validated,ChemBridge,5.92,5,c1ccc(cc1)[C@@H]2C[C@H](n3c(cc(n3)C(=O)Nc4cccc(c4)Cl)N2)C(F)(F)F
ZINC00681990,Validated,Specs,5.58,5,Cc1ccc(cc1)N(CCOC(=O)c2ccc(cc2)S(=O)(=O)N3CCCCC3)C4=NS(=O)(=O)c5c4cccc5
ZINC18178970,Validated,Ambinter,"5.00",5,CCOC(=O)CN1C(=O)[C@H]([C@@H](C1=O)OC(=O)c2ccccc2)OC(=O)c3ccccc3
ZINC18178970,Validated,Ambinter,"5.00",5,CCOC(=O)CN1C(=O)[C@@H]([C@@H](C1=O)OC(=O)c2ccccc2)OC(=O)c3ccccc3
ZINC18178970,Validated,Ambinter,"5.00",5,CCOC(=O)CN1C(=O)[C@@H]([C@H](C1=O)OC(=O)c2ccccc2)OC(=O)c3ccccc3
ZINC00706102,Validated,ChemBridge,3.07,10,c1ccc(cc1)[C@@H]2CC3=C([C@H](C(=C(O3)N)C#N)c4ccccc4F)C(=O)C2
ZINC13161772,Validated,Specs,6.51,"10,5",Cc1ccc(cc1)NCc2ccc\3n2CC/C3=C/4\Cn5c(ccc5C4=O)CNc6ccc(cc6)C
ZINC00692692,Validated,Specs,6.09,"6,5",COC(=O)c1cccc(c1)NC(=O)c2cc(cc(c2)N3C(=O)c4ccccc4C3=O)C(=O)Nc5cccc(c5)C(=O)OC
ZINC00199168,Validated,ChemBridge,2.76,5,COc1ccc(cc1)OCC(=O)N2CCN(CC2)C(=O)c3ccco3
ZINC00701894,Validated,Specs,2.89,"10,5",CC(=O)Oc1cc(cc(c1OC(=O)C)OC(=O)C)C(=O)Nc2ccc(cc2)Oc3ccccc3
ZINC00703833,Validated,Specs,4.63,5,COc1ccc(cc1)Oc2c(=O)c3ccc(cc3oc2C(F)(F)F)OC(=O)N4CCOCC4
ZINC00706600,Validated,Specs,4.51,"6,5",c1ccc(cc1)Cn2c3ccccc3c4c2nc(nn4)SCC(=O)OCN5C(=O)c6ccccc6C5=O
ZINC00708194,Validated,ChemBridge,3.65,"7,3",c1ccc(cc1)c2nn(c(=S)n2c3ccccc3)[C@@H]4CC(=O)[C@H]5OC[C@@H]4O5
ZINC00709053,Validated,Vitas‐M,4.62,5,Cc1cccc(c1NC(=O)C2(CCCCC2)N(Cc3ccco3)C(=O)c4ccc(cc4)NC(=O)C)C
ZINC00709808,Validated,Chemical Block,2.5,"6,5",COc1ccccc1N(CCOC(=O)[C@@H]2CC(=O)N(C2)c3ccccc3)C4=NS(=O)(=O)c5c4cccc5
ZINC00709971,Validated,ChemBridge,4.64,"10,5",c1ccc(cc1)c2nnc(n2c3ccccc3)SCC(=O)N4CCN(CC4)C(=O)c5ccccc5
ZINC12376491,Validated,ChemDiv,"6.00","7,3",c1ccc(cc1)CN\2C(=O)C[C@@H](S/C2=N\c3ccc(cc3)F)C(=O)Nc4ccccc4
ZINC12376491,Validated,ChemDiv,"6.00","7,3",c1ccc(cc1)CN\2C(=O)C[C@@H](S/C2=N/c3ccc(cc3)F)C(=O)Nc4ccccc4
ZINC00716244,Validated,Chemical Block,3.93,5,CCCS(=O)(=O)c1c2cnccn2c(c1S(=O)(=O)CCC)C(=O)c3ccc(cc3)C
ZINC00718346,Validated,ChemBridge,4.92,5,c1ccc(c(c1)COc2ccc(cc2)C3C4=C(CCCC4=O)OC5=C3C(=O)CCC5)F
ZINC05130489,Validated,Chemical Block,4.48,"10,5",CCOc1ccc(c(c1)OCC)c2c3c([nH]n2)OC(=C([C@H]3c4ccco4)C#N)N
ZINC00719771,Validated,ChemBridge,5.04,5,CC1(CC2=C([C@H](C(=C(N2c3c(cccc3F)F)N)C#N)c4cccc(c4)Cl)C(=O)C1)C
ZINC00721075,Validated,ChemBridge,4.08,5,COc1cc(cc(c1OC)OC)c2cc(n3c(n2)c(cn3)C(=O)OC)C(F)(F)F
ZINC00721263,Validated,Specs,4.41,5,CC1=CC(C(=C(N1c2ccc(cc2)C(=O)N)N)C#N)(C(F)(F)F)C(F)(F)F
ZINC00721280,Validated,Chemical Block,5.75,"6,5",COC(=O)c1c2c(sc1NC(C(F)(F)F)(C(F)(F)F)NC(=O)c3cccnc3)CCCCC2
ZINC00728578,Validated,Specs,4.99,"10,5",CC1(CC2=C([C@@H](C(=C(O2)N)C#N)c3c4ccccc4cc5c3cccc5)C(=O)C1)C
ZINC00752157,Validated,ChemBridge,5.27,5,COc1ccccc1Nc2nc(nc(n2)OCC(F)(F)F)OCC(F)(F)F
ZINC00758004,Validated,ChemBridge,4.93,5,CC[C@@H](c1ccccc1)C(=O)N2CCCN(CC2)C(=O)[C@@H](CC)c3ccccc3
ZINC00777912,Validated,ChemDiv,6.65,"7,3",CCC(=O)N1[C@H](CC(=N1)c2ccc(cc2)C3=NN([C@H](C3)c4cccc(c4OC)OC)C(=O)CC)c5cccc(c5OC)OC
ZINC18181539,Validated,Vitas‐M,2.95,"10,5",Cc1cc(nc(n1)S[C@@H]2CC(=O)N(C2=O)c3ccc(c(c3)OC)OC)C
ZINC00293278,Validated,ChemBridge,3.69,5,Cc1ccc(cc1)S(=O)(=O)N(CCO)Cc2ccccc2
ZINC00808563,Validated,ChemBridge,4.83,5,Cc1ccc(cc1C)n2c(=O)c3cc4c(cc3c2=O)c(=O)n(c4=O)c5ccc(c(c5)C)C
ZINC00815319,Validated,Specs,4.55,5,Cc1ccc(cc1)c2cc(n3c(n2)c(cn3)C(=O)N4CCSCC4)C(F)F
ZINC00251749,Validated,Specs,3.55,5,c1ccc2c(c1)C(=O)N(C2=O)c3ccccc3C(F)(F)F
