smiles,ID,LogP_exp
O=C(CCc1ccccc1)NS(=O)(=O)c1ccccc1,SM25,2.67
CC(=O)NS(=O)(=O)CCc1ccccc1,SM26,1.04
CC1(NS(=O)(=O)CCc2ccccc2)COC1,SM27,1.56
CC(=O)NC1(CCc2ccccc2)CS(=O)(=O)C1,SM28,1.18
CS(=O)(=O)NC1(CCc2ccccc2)COC1,SM29,1.61
O=S(=O)(NC1(CCc2ccccc2)COC1)c1ccccc1,SM30,2.76
CN(C)S(=O)(=O)NC1(CCc2ccccc2)COC1,SM31,1.96
CS(=O)(=O)NC1(CCc2ccccc2)CSC1,SM32,2.44
O=S(=O)(NC1(CCc2ccccc2)CSC1)c1ccccc1,SM33,2.96
CN(C)S(=O)(=O)NC1(CCc2ccccc2)CSC1,SM34,2.83
CS(=O)(=O)NC1(CCc2ccccc2)CS(=O)C1,SM35,0.88
O=S1CC(CCc2ccccc2)(NS(=O)(=O)c2ccccc2)C1,SM36,0.76
CN(C)S(=O)(=O)NC1(CCc2ccccc2)CS(=O)C1,SM37,1.45
CS(=O)(=O)NC1(CCc2ccccc2)CS(=O)(=O)C1,SM38,1.03
O=S1(=O)CC(CCc2ccccc2)(NS(=O)(=O)c2ccccc2)C1,SM39,1.89
CN(C)S(=O)(=O)NC1(CCc2ccccc2)CS(=O)(=O)C1,SM40,1.83
CS(=O)(=O)Nc1cc(-c2ccccc2)on1,SM41,0.58
O=S(=O)(Nc1cc(-c2ccccc2)on1)c1ccccc1,SM42,1.76
CN(C)S(=O)(=O)Nc1cc(-c2ccccc2)on1,SM43,0.85
CS(=O)(=O)Nc1cn(-c2ccccc2)nn1,SM44,1.16
O=S(=O)(Nc1cn(-c2ccccc2)nn1)c1ccccc1,SM45,2.55
CN(C)S(=O)(=O)Nc1cn(-c2ccccc2)nn1,SM46,1.72
